Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms,Total_Value
Colombia,describe,Export,1979,9506.57,07-12-2023,Machinery,Robertbury,620537,4248.65,Air,"Garrison, Hubbard and Hendricks",Seth Hall,21000294,Cash on Delivery,18813502.0
Chile,president,Export,5763,7100.91,04-04-2023,Clothing,Shahport,927600,4340.81,Air,Webb-Mack,Kimberly Ryan,88738432,Prepaid,40922544.0
Turkey,far,Import,5740,2450.34,21-08-2024,Electronics,South Joshuatown,299258,4538.41,Air,"Mendez, Jones and Johnson",Ryan Silva,89922099,Prepaid,14064952.0
Christmas Island,agency,Export,2592,7226.42,09-05-2022,Furniture,Adamfort,996084,4886.14,Air,Schroeder-Smith,Jacob Gray,63216265,Net 60,18730881.0
Finland,policy,Export,2622,2817.29,03-04-2023,Electronics,Juliebury,555981,4406.74,Air,Zimmerman LLC,Amy Stephens,94600248,Cash on Delivery,7386934.0
New Zealand,positive,Export,6975,657.8,23-07-2021,Machinery,East Randall,741778,1497.16,Sea,Baker-Allen,Kelsey Alexander,60519670,Net 30,4588155.0
Falkland Islands (Malvinas),back,Export,2746,8755.76,29-03-2022,Furniture,Port Crystalview,816682,1692.01,Land,Mercado-Smith,Daniel Hunter,50595982,Cash on Delivery,24043317.0
Bangladesh,population,Export,3582,9993.02,08-04-2020,Electronics,Wrightburgh,950200,842.84,Air,"Williams, Baird and Brown",David Kennedy,27293005,Net 60,35794998.0
Burundi,last,Export,5432,3027.55,13-12-2021,Furniture,Ruizmouth,962651,1158.91,Air,"Brown, Thomas and Lucas",Laura Smith,50540228,Net 60,16445652.0
Nicaragua,sign,Import,7398,1999.99,29-09-2019,Machinery,South Andrewfurt,675397,574.61,Land,Mitchell Ltd,Douglas Hoffman,30986004,Net 60,14795926.0
Italy,bed,Import,1193,7478.57,12-11-2020,Toys,Dustinport,189133,4537.8,Sea,Thompson PLC,Taylor Myers,43375448,Net 60,8921934.0
Burundi,safe,Export,9558,1154.23,16-01-2022,Electronics,Garciaville,412683,3676.36,Air,"Gomez, Washington and Mcdonald",Mary Carlson,35388533,Net 30,11032130.0
United Kingdom,along,Import,5608,8587.1,27-10-2023,Clothing,Nancyfurt,119389,510.95,Land,Sanchez and Sons,Casey Aguilar,50105611,Prepaid,48156457.0
Estonia,improve,Import,5123,1569.9,04-07-2022,Machinery,Sandrastad,506951,3676.74,Land,Pugh-Green,Donald Jackson,41835625,Net 30,8042598.0
Malawi,understand,Export,6484,9490.3,21-05-2020,Clothing,South Kennethmouth,778573,277.99,Air,"Walsh, Hoover and Reid",Julia Sanchez,13581215,Net 30,61535105.0
